sku,field,change,original_value,new_value
SK-4032,category,matched to fixed category list,Writing,Writing
SK-4040,category,matched to fixed category list,FILING,Filing
SK-4048,product_name,standardised casing/spacing,grey lever arch file a4,Grey Lever Arch File A4
SK-4048,category,matched to fixed category list,filing & storage,Filing
SK-4048,price,"currency symbol removed, 2dp",$66.61,66.61
SK-4056,product_name,standardised casing/spacing,Grey  Lever  Arch  File  A4,Grey Lever Arch File A4
SK-4056,category,matched to fixed category list,FILING,Filing
SK-4064,category,matched to fixed category list,Filing/Storage,Filing
SK-4064,price,"currency symbol removed, 2dp",$60.24,60.24
SK-4072,product_name,standardised casing/spacing,"GREEN BALLPOINT, MEDIUM","Green Ballpoint, Medium"
SK-4072,category,matched to fixed category list,WRITING,Writing
SK-4080,product_name,standardised casing/spacing,mesh desk organiser,Mesh Desk Organiser
SK-4080,category,matched to fixed category list,desk acc.,Desk
SK-4088,product_name,standardised casing/spacing,Copier Paper Letter 70gsm,Copier Paper Letter 70gsm
SK-4088,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-4088,price,"currency symbol removed, 2dp",$10.87,10.87
SK-4096,product_name,standardised casing/spacing,"RED BALLPOINT, MEDIUM","Red Ballpoint, Medium"
SK-4096,category,matched to fixed category list,Writing,Writing
SK-4104,product_name,standardised casing/spacing,copier paper legal 70gsm,Copier Paper Legal 70gsm
SK-4104,category,matched to fixed category list,Paper and Office,Paper & Office
SK-4104,price,"currency symbol removed, 2dp",$8.65,8.65
SK-4112,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-4112,category,matched to fixed category list,desk,Desk
SK-4120,product_name,standardised casing/spacing,Copier  Paper  A4  70gsm,Copier Paper A4 70gsm
SK-4120,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-4128,category,matched to fixed category list,FILING,Filing
SK-4136,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-4136,category,matched to fixed category list,DESK,Desk
SK-4136,price,"currency symbol removed, 2dp",$77.70,77.70
SK-4144,category,matched to fixed category list,filing,Filing
SK-4152,product_name,standardised casing/spacing,"green ballpoint, medium","Green Ballpoint, Medium"
SK-4152,category,matched to fixed category list,writing tools,Writing
SK-4160,product_name,standardised casing/spacing,Copier Paper Legal 70gsm,Copier Paper Legal 70gsm
SK-4160,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4168,category,matched to fixed category list,desk,Desk
SK-4176,product_name,standardised casing/spacing,copier paper letter 100gsm,Copier Paper Letter 100gsm
SK-4176,category,matched to fixed category list,paper&office,Paper & Office
SK-4184,category,matched to fixed category list,writing,Writing
SK-4192,product_name,standardised casing/spacing,"BLUE BALLPOINT, MEDIUM","Blue Ballpoint, Medium"
SK-4192,category,matched to fixed category list,WRITING,Writing
SK-4200,product_name,standardised casing/spacing,COPIER PAPER A4 70GSM,Copier Paper A4 70gsm
SK-4200,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4208,product_name,standardised casing/spacing,Copier Paper Legal 120gsm,Copier Paper Legal 120gsm
SK-4208,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4216,product_name,standardised casing/spacing,"Black Ballpoint, Medium","Black Ballpoint, Medium"
SK-4216,category,matched to fixed category list,Writing,Writing
SK-4216,price,"currency symbol removed, 2dp",$51.92,51.92
SK-4224,category,matched to fixed category list,DESK,Desk
SK-4232,product_name,standardised casing/spacing,STEEL DESK ORGANISER,Steel Desk Organiser
SK-4232,category,matched to fixed category list,DESK,Desk
SK-4232,price,"currency symbol removed, 2dp",$58.57,58.57
SK-4240,product_name,standardised casing/spacing,Steel  Desk  Organiser,Steel Desk Organiser
SK-4240,category,matched to fixed category list,desk,Desk
SK-4248,product_name,standardised casing/spacing,"Red  Ballpoint,  Fine","Red Ballpoint, Fine"
SK-4248,category,matched to fixed category list,WRITING,Writing
SK-4256,category,matched to fixed category list,desk,Desk
SK-4264,product_name,standardised casing/spacing,copier paper a4 70gsm,Copier Paper A4 70gsm
SK-4264,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4264,price,"currency symbol removed, 2dp",$32.53,32.53
SK-4272,product_name,standardised casing/spacing,"BLUE BALLPOINT, FINE","Blue Ballpoint, Fine"
SK-4272,category,matched to fixed category list,Writing,Writing
SK-4272,price,"currency symbol removed, 2dp",$32.70,32.70
SK-4280,product_name,standardised casing/spacing,grey lever arch file foolscap,Grey Lever Arch File Foolscap
SK-4280,category,matched to fixed category list,filing,Filing
SK-4288,product_name,standardised casing/spacing,"green ballpoint, fine","Green Ballpoint, Fine"
SK-4288,category,matched to fixed category list,Writing,Writing
SK-4296,category,matched to fixed category list,filing,Filing
SK-4304,product_name,standardised casing/spacing,"Black  Ballpoint,  Fine","Black Ballpoint, Fine"
SK-4304,category,matched to fixed category list,Writing,Writing
SK-4304,price,"currency symbol removed, 2dp",$60.96,60.96
SK-4312,category,matched to fixed category list,Desk Accessories,Desk
SK-4320,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE A4,Green Lever Arch File A4
SK-4320,category,matched to fixed category list,Filing/Storage,Filing
SK-4328,category,matched to fixed category list,FILING,Filing
SK-4336,product_name,standardised casing/spacing,Blue Lever Arch File A4,Blue Lever Arch File A4
SK-4336,category,matched to fixed category list,FILING,Filing
SK-4336,price,"currency symbol removed, 2dp",$63.46,63.46
SK-4344,category,matched to fixed category list,filing & storage,Filing
SK-4344,price,"currency symbol removed, 2dp",$45.63,45.63
SK-4352,product_name,standardised casing/spacing,"BLACK BALLPOINT, MEDIUM","Black Ballpoint, Medium"
SK-4352,category,matched to fixed category list,WRITING,Writing
SK-4360,category,matched to fixed category list,paper & office,Paper & Office
SK-4368,product_name,standardised casing/spacing,"red ballpoint, fine","Red Ballpoint, Fine"
SK-4368,category,matched to fixed category list,WRITING,Writing
SK-4376,product_name,standardised casing/spacing,Blue  Lever  Arch  File  A4,Blue Lever Arch File A4
SK-4376,category,matched to fixed category list,filing,Filing
SK-4384,category,matched to fixed category list,Filing/Storage,Filing
SK-4384,price,"currency symbol removed, 2dp",$58.72,58.72
SK-4392,category,matched to fixed category list,paper & office,Paper & Office
SK-4400,product_name,standardised casing/spacing,mesh desk organiser,Mesh Desk Organiser
SK-4400,category,matched to fixed category list,DESK,Desk
SK-4408,product_name,standardised casing/spacing,COPIER PAPER LEGAL 120GSM,Copier Paper Legal 120gsm
SK-4408,category,matched to fixed category list,paper&office,Paper & Office
SK-4408,price,"currency symbol removed, 2dp",$23.01,23.01
SK-4416,category,matched to fixed category list,desk acc.,Desk
SK-4424,category,matched to fixed category list,filing,Filing
SK-4432,product_name,standardised casing/spacing,Steel  Desk  Organiser,Steel Desk Organiser
SK-4432,category,matched to fixed category list,desk acc.,Desk
SK-4440,product_name,standardised casing/spacing,"Red Ballpoint, Broad","Red Ballpoint, Broad"
SK-4440,category,matched to fixed category list,writing,Writing
SK-4448,category,matched to fixed category list,Desk Accessories,Desk
SK-4456,product_name,standardised casing/spacing,WOODEN DESK ORGANISER,Wooden Desk Organiser
SK-4456,category,matched to fixed category list,Desk Accessories,Desk
SK-4456,price,"currency symbol removed, 2dp",$33.63,33.63
SK-4464,product_name,standardised casing/spacing,GREY LEVER ARCH FILE A4,Grey Lever Arch File A4
SK-4464,category,matched to fixed category list,filing & storage,Filing
SK-4464,price,"currency symbol removed, 2dp",$76.55,76.55
SK-4472,category,matched to fixed category list,writing tools,Writing
SK-4480,product_name,standardised casing/spacing,Copier Paper Letter 100gsm,Copier Paper Letter 100gsm
SK-4480,category,matched to fixed category list,paper&office,Paper & Office
SK-4488,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4496,product_name,standardised casing/spacing,"green ballpoint, broad","Green Ballpoint, Broad"
SK-4496,category,matched to fixed category list,WRITING,Writing
SK-4496,price,"currency symbol removed, 2dp",$4.75,4.75
SK-4504,category,matched to fixed category list,WRITING,Writing
SK-4512,product_name,standardised casing/spacing,STEEL DESK ORGANISER,Steel Desk Organiser
SK-4512,category,matched to fixed category list,DESK,Desk
SK-4512,price,"currency symbol removed, 2dp",$61.06,61.06
SK-4520,category,matched to fixed category list,filing & storage,Filing
SK-4528,product_name,standardised casing/spacing,wooden desk organiser,Wooden Desk Organiser
SK-4528,category,matched to fixed category list,desk acc.,Desk
SK-4536,product_name,standardised casing/spacing,"RED BALLPOINT, FINE","Red Ballpoint, Fine"
SK-4536,category,matched to fixed category list,writing,Writing
SK-4544,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4552,category,matched to fixed category list,Writing,Writing
SK-4552,price,"currency symbol removed, 2dp",$72.96,72.96
SK-4560,product_name,standardised casing/spacing,acrylic desk organiser,Acrylic Desk Organiser
SK-4560,category,matched to fixed category list,Desk Accessories,Desk
SK-4568,category,matched to fixed category list,paper & office,Paper & Office
SK-4576,category,matched to fixed category list,desk acc.,Desk
SK-4584,category,matched to fixed category list,FILING,Filing
SK-4592,category,matched to fixed category list,paper & office,Paper & Office
SK-4600,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-4600,category,matched to fixed category list,desk acc.,Desk
SK-4600,price,"currency symbol removed, 2dp",$77.91,77.91
SK-4608,product_name,standardised casing/spacing,acrylic desk organiser,Acrylic Desk Organiser
SK-4608,category,matched to fixed category list,Desk Accessories,Desk
SK-4608,price,"currency symbol removed, 2dp",$22.84,22.84
SK-4616,product_name,standardised casing/spacing,"red ballpoint, broad","Red Ballpoint, Broad"
SK-4616,category,matched to fixed category list,WRITING,Writing
SK-4624,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE A4,Blue Lever Arch File A4
SK-4624,category,matched to fixed category list,FILING,Filing
SK-4632,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-4640,product_name,standardised casing/spacing,copier paper a3 120gsm,Copier Paper A3 120gsm
SK-4640,category,matched to fixed category list,paper & office,Paper & Office
SK-4648,category,matched to fixed category list,Writing,Writing
SK-4656,product_name,standardised casing/spacing,Mesh  Desk  Organiser,Mesh Desk Organiser
SK-4656,category,matched to fixed category list,desk acc.,Desk
SK-4656,price,"currency symbol removed, 2dp",$54.16,54.16
SK-4664,product_name,standardised casing/spacing,MESH DESK ORGANISER,Mesh Desk Organiser
SK-4664,category,matched to fixed category list,desk,Desk
SK-4672,product_name,standardised casing/spacing,Acrylic  Desk  Organiser,Acrylic Desk Organiser
SK-4672,category,matched to fixed category list,desk,Desk
SK-4680,product_name,standardised casing/spacing,GREY LEVER ARCH FILE A4,Grey Lever Arch File A4
SK-4680,category,matched to fixed category list,filing & storage,Filing
SK-4688,product_name,standardised casing/spacing,"Green Ballpoint, Broad","Green Ballpoint, Broad"
SK-4688,category,matched to fixed category list,Writing,Writing
SK-4688,price,"currency symbol removed, 2dp",$9.54,9.54
SK-4696,category,matched to fixed category list,Filing/Storage,Filing
SK-4704,category,matched to fixed category list,filing,Filing
SK-4712,category,matched to fixed category list,paper & office,Paper & Office
SK-4712,price,"currency symbol removed, 2dp",$42.05,42.05
SK-4720,product_name,standardised casing/spacing,Copier  Paper  A3  100gsm,Copier Paper A3 100gsm
SK-4720,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-4728,category,matched to fixed category list,Paper and Office,Paper & Office
SK-4728,price,"currency symbol removed, 2dp",$36.92,36.92
SK-4736,product_name,standardised casing/spacing,steel desk organiser,Steel Desk Organiser
SK-4736,category,matched to fixed category list,DESK,Desk
SK-4744,product_name,standardised casing/spacing,Wooden Desk Organiser,Wooden Desk Organiser
SK-4744,category,matched to fixed category list,desk,Desk
SK-4752,product_name,standardised casing/spacing,BLACK LEVER ARCH FILE FOOLSCAP,Black Lever Arch File Foolscap
SK-4752,category,matched to fixed category list,Filing/Storage,Filing
SK-4752,price,"currency symbol removed, 2dp",$53.00,53.00
SK-4760,category,matched to fixed category list,DESK,Desk
SK-4760,price,"currency symbol removed, 2dp",$76.08,76.08
SK-4768,category,matched to fixed category list,WRITING,Writing
SK-4776,product_name,standardised casing/spacing,"Black Ballpoint, Broad","Black Ballpoint, Broad"
SK-4776,category,matched to fixed category list,WRITING,Writing
SK-4784,category,matched to fixed category list,WRITING,Writing
SK-4792,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4800,product_name,standardised casing/spacing,Copier Paper Legal 120gsm,Copier Paper Legal 120gsm
SK-4800,category,matched to fixed category list,Paper and Office,Paper & Office
SK-4808,product_name,standardised casing/spacing,"green ballpoint, medium","Green Ballpoint, Medium"
SK-4808,category,matched to fixed category list,writing,Writing
SK-4816,category,matched to fixed category list,filing,Filing
SK-4824,product_name,standardised casing/spacing,acrylic desk organiser,Acrylic Desk Organiser
SK-4824,category,matched to fixed category list,DESK,Desk
SK-4832,category,matched to fixed category list,FILING,Filing
SK-4832,price,"currency symbol removed, 2dp",$85.08,85.08
SK-4840,product_name,standardised casing/spacing,blue lever arch file a4,Blue Lever Arch File A4
SK-4840,category,matched to fixed category list,filing & storage,Filing
SK-4848,product_name,standardised casing/spacing,wooden desk organiser,Wooden Desk Organiser
SK-4848,category,matched to fixed category list,desk acc.,Desk
SK-4856,product_name,standardised casing/spacing,grey lever arch file foolscap,Grey Lever Arch File Foolscap
SK-4856,category,matched to fixed category list,FILING,Filing
SK-4856,price,"currency symbol removed, 2dp",$35.80,35.80
SK-4864,category,matched to fixed category list,WRITING,Writing
SK-4872,product_name,standardised casing/spacing,Wooden  Desk  Organiser,Wooden Desk Organiser
SK-4872,category,matched to fixed category list,DESK,Desk
SK-4880,product_name,standardised casing/spacing,"blue ballpoint, fine","Blue Ballpoint, Fine"
SK-4880,category,matched to fixed category list,Writing,Writing
SK-4888,category,matched to fixed category list,filing & storage,Filing
SK-4896,category,matched to fixed category list,paper & office,Paper & Office
SK-4896,price,"currency symbol removed, 2dp",$39.16,39.16
SK-4904,category,matched to fixed category list,paper&office,Paper & Office
SK-4912,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4920,category,matched to fixed category list,filing,Filing
SK-4928,product_name,standardised casing/spacing,Copier  Paper  A3  80gsm,Copier Paper A3 80gsm
SK-4928,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-4928,price,"currency symbol removed, 2dp",$62.17,62.17
SK-4936,product_name,standardised casing/spacing,Copier  Paper  A4  120gsm,Copier Paper A4 120gsm
SK-4936,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-4944,category,matched to fixed category list,Paper/Office,Paper & Office
SK-4944,price,"currency symbol removed, 2dp",$4.28,4.28
SK-4952,category,matched to fixed category list,filing,Filing
SK-4952,price,"currency symbol removed, 2dp",$67.03,67.03
SK-4960,product_name,standardised casing/spacing,black lever arch file a4,Black Lever Arch File A4
SK-4960,category,matched to fixed category list,FILING,Filing
SK-4968,product_name,standardised casing/spacing,Black  Lever  Arch  File  A4,Black Lever Arch File A4
SK-4968,category,matched to fixed category list,filing & storage,Filing
SK-4976,product_name,standardised casing/spacing,"Blue Ballpoint, Medium","Blue Ballpoint, Medium"
SK-4976,category,matched to fixed category list,Writing,Writing
SK-4984,product_name,standardised casing/spacing,"Black  Ballpoint,  Fine","Black Ballpoint, Fine"
SK-4984,category,matched to fixed category list,writing,Writing
SK-4992,product_name,standardised casing/spacing,Green Lever Arch File A4,Green Lever Arch File A4
SK-4992,category,matched to fixed category list,FILING,Filing
